Empresa;Activos;Ingresos;Utilidad Neta
Estacion de servicio el pire sas;10.586.076;20.702.723;891.782
No encontrado;10.586.076;20.702.723;891.782
Inversiones inmobiliarias landco sas;21.326.082;0;3.999
No encontrado;21.326.082;0;3.999
Mariño de patiño sas;5.638.950;756.857;63.632
No encontrado;5.638.950;756.857;63.632
Concre acero sas;30.576.424;35.721.518;123.891
No encontrado;30.576.424;35.721.518;123.891
No encontrado;No encontrado;No encontrado;No encontrado
Hoteles porton s.a.;13.751.185;3.254.227;161.959
No encontrado;13.751.185;3.254.227;161.959
Calmagalu sociedad por acciones simplificada;14.079.852;1.549.496;803.207
No encontrado;14.079.852;1.549.496;803.207
Ladrillera alcarraza sas;4.539.582;6.716.984;417.942
No encontrado;4.539.582;6.716.984;417.942
Dexco colombia s.a.;642.159.090;408.314.352;95.353.531
No encontrado;642.159.090;408.314.352;95.353.531
Mapanda sas;33.494.698;999.729;2.149.348
No encontrado;33.494.698;999.729;2.149.348
Jc soluciones de infraestructura sas;17.335.020;26.562.641;790.759
No encontrado;17.335.020;26.562.641;790.759
Constructora castilletes sa;28.385.153;928.535;374.704
No encontrado;28.385.153;928.535;374.704
Redispol sas;893.714;3.264.400;20.372
No encontrado;893.714;3.264.400;20.372
Inr inversiones reinoso y cia ltda;20.238.885;25.254.514;2.006.670
No encontrado;20.238.885;25.254.514;2.006.670
Iinversiones montoya pasaje comercial amador bolivar y cia sas;4.303.253;532.354;22.228
No encontrado;4.303.253;532.354;22.228
No encontrado;No encontrado;No encontrado;No encontrado
Productos navideños navilandia sas;16.175.368;20.338.017;1.525.246
No encontrado;16.175.368;20.338.017;1.525.246
Licosinu s.a.s;61.167.177;137.365.125;12.202.529
No encontrado;61.167.177;137.365.125;12.202.529
Spectra s.a.s;6.379.393;530.833;47.226
No encontrado;6.379.393;530.833;47.226
Enecon sas;83.164.394;210.880.104;11.799.351
No encontrado;83.164.394;210.880.104;11.799.351
Supermercado agropecario sas;28.200.815;84.932.653;4.723.903
No encontrado;28.200.815;84.932.653;4.723.903
Boyden de colombia consultores ejecutivos ltda;988.045;590.781;657
No encontrado;988.045;590.781;657
Iinversiones adimacris s.a.;1.871.524;1.643.495;92.661
No encontrado;1.871.524;1.643.495;92.661
Imparlujos ltda;3.211.902;8.037.376;441.089
No encontrado;3.211.902;8.037.376;441.089
Edesma ltda;5.663.028;6.661.559;329.203
No encontrado;5.663.028;6.661.559;329.203
Turjona s.a.s.;6.117.560;488.626;18.679
No encontrado;6.117.560;488.626;18.679
No encontrado;No encontrado;No encontrado;No encontrado
Polyban internacional s.a.s.;78.726.670;58.014.968;3.684.765
No encontrado;78.726.670;58.014.968;3.684.765
Compañia nacional de textil sas;45.414.190;34.079.204;1.175.829
No encontrado;45.414.190;34.079.204;1.175.829
Carbones los cerros pinzon velez sas;6.244.332;1.260.714;8.199
No encontrado;6.244.332;1.260.714;8.199
Sanchez sarmiento y cia ltda;7.156.477;5.374.993;178.160
No encontrado;7.156.477;5.374.993;178.160
Manufacturas palaso sas;4.645.233;6.084.867;38.155
No encontrado;4.645.233;6.084.867;38.155
Industrias profibra limitada;6.084.987;7.103.816;477.926
No encontrado;6.084.987;7.103.816;477.926
Dotaescol s.a.s.;17.517.020;20.920.521;1.613.852
No encontrado;17.517.020;20.920.521;1.613.852
Mayo s.a.;12.589.616;0;135.271
No encontrado;12.589.616;0;135.271
Jcr sas;5.686.189;35.993.977;382.927
No encontrado;5.686.189;35.993.977;382.927
Taghleef latin america s.a.;1.157.426.238;887.523.468;20.905.879
No encontrado;1.157.426.238;887.523.468;20.905.879
No encontrado;No encontrado;No encontrado;No encontrado
Psi ferreteria ltda;2.412.876;1.663.450;128.840
No encontrado;2.412.876;1.663.450;128.840
Representaciones e importaciones de productos de madera y accesorios del caribe limitada rimac ltda;3.601.026;3.832.325;10.459
No encontrado;3.601.026;3.832.325;10.459
P y jm davila jimeno ltda;2.601.704;0;23.966
No encontrado;2.601.704;0;23.966
Papeleria y servicios sas;12.375.001;39.634.075;782.639
No encontrado;12.375.001;39.634.075;782.639
Nutricion y recursos de colombia sa;18.136.867;83.325.673;2.364.738
No encontrado;18.136.867;83.325.673;2.364.738
Productora de alimentos y servicios pas sas;10.054.513;151.539;818.977
No encontrado;10.054.513;151.539;818.977
Florval s.a.s;52.164.411;98.727.510;1.089.376
No encontrado;52.164.411;98.727.510;1.089.376
Cosmotextil sas;26.994.877;28.441.343;2.130.694
No encontrado;26.994.877;28.441.343;2.130.694
Industria de muebles del valle sa;33.693.000;52.282.426;1.074.764
No encontrado;33.693.000;52.282.426;1.074.764
Inmobiliaria barrancabermeja sociedad por acciones simplificada;1.925.215;688.924;3.688
No encontrado;1.925.215;688.924;3.688
No encontrado;No encontrado;No encontrado;No encontrado
Tumo sas;11.656.009;286.707;6.743
No encontrado;11.656.009;286.707;6.743
Fds gonzalez y cia scs;15.839.225;76.825;5.714
No encontrado;15.839.225;76.825;5.714
Grexco programadores s.a.s.;454.072;548.612;2.401
No encontrado;454.072;548.612;2.401
Ower ltda;12.603.409;824;229.927
No encontrado;12.603.409;824;229.927
Procementos gastelbondo barrera y cia sas;3.321.404;18.601.097;543.952
No encontrado;3.321.404;18.601.097;543.952
Tecnitenques ingenieros s.as. en reorganizacion;141.463.256;112.454.977;5.615.930
No encontrado;141.463.256;112.454.977;5.615.930
Suabia sas;9.303.833;10.932;196.033
No encontrado;9.303.833;10.932;196.033
System american cargo sas;4.725.469;2.529.147;145.612
No encontrado;4.725.469;2.529.147;145.612
Figueroa sierra y asociados sas;819.982;200.119;202.234
No encontrado;819.982;200.119;202.234
Iov y cia sas;5.923.814;5.688.684;361.252
No encontrado;5.923.814;5.688.684;361.252
No encontrado;No encontrado;No encontrado;No encontrado
Dalimentos s.a.s.;3.166.311;4.787.927;107.406
No encontrado;3.166.311;4.787.927;107.406
Inverpacifico sa en reorganizacion;7.396.235;1.324.275;58.774
No encontrado;7.396.235;1.324.275;58.774
800050644;2.741.411;3.298.827;122.313
No encontrado;2.741.411;3.298.827;122.313
Aleman bello s.a.s.aleman bello s.a.s.;6.980.437;1.017.225;483.204
No encontrado;6.980.437;1.017.225;483.204
Ci agricola cardenal sas;33.894.790;57.756.950;547.126
No encontrado;33.894.790;57.756.950;547.126
T.m. s.a.;105.365.206;103.219.290;19.785.940
No encontrado;105.365.206;103.219.290;19.785.940
Iinversiones inalbos s en c;63.200.975;5.801.005;1.587.105
No encontrado;63.200.975;5.801.005;1.587.105
Hurtado y m sas;3.989.959;2.205.281;722.868
No encontrado;3.989.959;2.205.281;722.868
Nestor bravo sa;8.085.224;14.705.806;438.115
No encontrado;8.085.224;14.705.806;438.115
Pedro pablo mendoza y cia. s. en c,;17.158.624;1.445.513;1.796.324
No encontrado;17.158.624;1.445.513;1.796.324
No encontrado;No encontrado;No encontrado;No encontrado
Safari sa;5.743.103;0;96.851
No encontrado;5.743.103;0;96.851
Bravo cortes sas -en reorganizacion;4.518.388;20.488;55.343
No encontrado;4.518.388;20.488;55.343
Carapari sas;8.824.351;0;1.641
No encontrado;8.824.351;0;1.641
Spia gps sa;15.696.065;3.731.934;676.668
No encontrado;15.696.065;3.731.934;676.668
Russell bedford rbg sas;3.236.178;11.146.131;278.902
No encontrado;3.236.178;11.146.131;278.902
Energia y potencia s.a.s;61.844.658;76.398.315;7.897
No encontrado;61.844.658;76.398.315;7.897
Pacatu s.a.s;22.923.342;0;2.508
No encontrado;22.923.342;0;2.508
Aporema s.a.s;34.124.893;0;61.960
No encontrado;34.124.893;0;61.960
Toyama s.a.s.;22.302.610;0;1.213
No encontrado;22.302.610;0;1.213
Inversiones gamburibe y cia s en c;11.980.603;1.344.486;240.771
No encontrado;11.980.603;1.344.486;240.771
No encontrado;No encontrado;No encontrado;No encontrado
Intercolor sas;4.135.831;6.988.767;320.708
No encontrado;4.135.831;6.988.767;320.708
Nule marino y compañia s.a.s.;4.428.795;15.249.094;154.042
No encontrado;4.428.795;15.249.094;154.042
Automotora de occidente s en c s;16.629.196;69.046.274;2.165.304
No encontrado;16.629.196;69.046.274;2.165.304
Manufacturas de aluminio madeal s.a.;47.675.894;60.336.244;97.567
No encontrado;47.675.894;60.336.244;97.567
Industria andina de iluminacion sa;32.469.497;28.611.166;366.904
No encontrado;32.469.497;28.611.166;366.904
Laserna y cia insumos agropecuarios sas;13.102.758;4.753.880;1.458.942
No encontrado;13.102.758;4.753.880;1.458.942
Cg constructora sas;32.913.918;28.885.970;254.930
No encontrado;32.913.918;28.885.970;254.930
Frigorifico del sinu frigosinu s.a.;25.150.366;41.436.967;181.732
No encontrado;25.150.366;41.436.967;181.732
Manser sas;17.519.258;5.428.726;152.203
No encontrado;17.519.258;5.428.726;152.203
Compañía nacional del café sas cnc sas;14.774.387;148.211.424;4.116.055
No encontrado;14.774.387;148.211.424;4.116.055
No encontrado;No encontrado;No encontrado;No encontrado
Comercializadora de lubricantes y combustibles la quinta ltda.;1.549.895;13.503.559;22.009
No encontrado;1.549.895;13.503.559;22.009
Sociedad ferretera de comercio sas;22.182.973;71.745.481;1.095.902
No encontrado;22.182.973;71.745.481;1.095.902
Inmobiliarte de colombia sas;23.691.793;0;0
No encontrado;23.691.793;0;0
Distribuciones axa sas;115.892.920;385.295.069;7.042.146
No encontrado;115.892.920;385.295.069;7.042.146
Sociedad de ayudas diagnosticas liitada;1.989.333;1.357.490;21.474
No encontrado;1.989.333;1.357.490;21.474
Sandherz sas;1.179.620;3.610.599;37.308
No encontrado;1.179.620;3.610.599;37.308
Representaciones opticas colombianas s.a.;55.107.951;0;8.074.217
No encontrado;55.107.951;0;8.074.217
Casyber sas;4.281.075;2.466.345;61.592
No encontrado;4.281.075;2.466.345;61.592
Omega ingenieros sas;13.111.528;24.482.611;338.731
No encontrado;13.111.528;24.482.611;338.731
Refinitiv limited;37.645.452;20.910.373;1.418.791
No encontrado;37.645.452;20.910.373;1.418.791
No encontrado;No encontrado;No encontrado;No encontrado
Uruyen sas;7.029.200;0;4.370
No encontrado;7.029.200;0;4.370
Artilab sa;9.899.291;13.542.783;753.291
No encontrado;9.899.291;13.542.783;753.291
Servicios institucionales de colombia sinco ltda;6.918.607;6.625.683;1.605.705
No encontrado;6.918.607;6.625.683;1.605.705
Laboratorios duben benjumea s.a.s;1.923.961;605.380;14.322
No encontrado;1.923.961;605.380;14.322
Guias y repuestos sas;5.726.704;9.805.403;564.486
No encontrado;5.726.704;9.805.403;564.486
Cuipula s.a;32.321.716;74.606.784;1.833.803
No encontrado;32.321.716;74.606.784;1.833.803
Proyectamos y edificamos sas;186.331.333;54.414.696;12.509.810
No encontrado;186.331.333;54.414.696;12.509.810
Flores rionegro s.a.;8.332.935;24.078.509;245.765
No encontrado;8.332.935;24.078.509;245.765
Superficies colombia sas;21.991.041;1.130.021;345.343
No encontrado;21.991.041;1.130.021;345.343
Alternativa de moda sas;37.931.158;56.964.352;6.570.225
No encontrado;37.931.158;56.964.352;6.570.225
No encontrado;No encontrado;No encontrado;No encontrado
Grupo macarsa sas;5.739.067;7.537.877;31.300
No encontrado;5.739.067;7.537.877;31.300
Inversiones triangulo de la sabana;11.693.235;10.485.458;100.504
No encontrado;11.693.235;10.485.458;100.504
Maxli & cia sas;3.512.314;2.068.345;9.603
No encontrado;3.512.314;2.068.345;9.603
Drogas pharmabaratas s a;12.305.975;0;5.121
No encontrado;12.305.975;0;5.121
Anthony halliday beron sas;16.223.167;2.569.072;60.835
No encontrado;16.223.167;2.569.072;60.835
Biobanknote sas;1.864.581;753.405;119.357
No encontrado;1.864.581;753.405;119.357
Comercializadora de cueros s.a.s.;3.040.613;0;2.003
No encontrado;3.040.613;0;2.003
Inversiones castillo & cia s en c;4.155.564;0;80.126
No encontrado;4.155.564;0;80.126
Pmk psicomarketing international s. a. s.;2.168.408;0;47.667
No encontrado;2.168.408;0;47.667
Constructora mardel s a;56.530.252;18.114.845;891.417
No encontrado;56.530.252;18.114.845;891.417
No encontrado;No encontrado;No encontrado;No encontrado
Calypso del caribe sa;227.160.029;655.022.040;5.813.133
No encontrado;227.160.029;655.022.040;5.813.133
Nsp decolombia sas en reorganizcion;6.096.634;2.606.770;74.940
No encontrado;6.096.634;2.606.770;74.940
Constructora el bosque sas;4.596.728;316.963;7.569
No encontrado;4.596.728;316.963;7.569
Valores rivera vergara sas;2.657.698;1.715.100;3.000
No encontrado;2.657.698;1.715.100;3.000
Intricon sa;28.481.355;40.131.438;1.386.320
No encontrado;28.481.355;40.131.438;1.386.320
Ci combustibles del mar sas;1.620.028;0;45.719
No encontrado;1.620.028;0;45.719
Puntos y mercados sas;8.067.371;15.294.690;267.834
No encontrado;8.067.371;15.294.690;267.834
Inversiones porras sas;2.762.633;49.281;158.710
No encontrado;2.762.633;49.281;158.710
Indufaros s.a.;16.243.462;45.263.282;2.440.045
No encontrado;16.243.462;45.263.282;2.440.045
Representaciones industriales rdv ltda;13.002.382;8.206.643;838.120
No encontrado;13.002.382;8.206.643;838.120
No encontrado;No encontrado;No encontrado;No encontrado
Ramon ribas r. sociedad en comandita;527.856;171.404;5.106
No encontrado;527.856;171.404;5.106
Ingennieria total sas;4.809.233;3.433.337;70.061
No encontrado;4.809.233;3.433.337;70.061
Gimnasio britanico sas;4.447.963;11.048.664;467.822
No encontrado;4.447.963;11.048.664;467.822
Vierzon s.a.s;3.001.561;0;3.359
No encontrado;3.001.561;0;3.359
Jaime arango robledo s.a.s;2.448.524;0;0
No encontrado;2.448.524;0;0
Inversiones agromin s a s;52.817.541;2.451.185;6.437.263
No encontrado;52.817.541;2.451.185;6.437.263
Laboratorios callbest limitada;13.270.508;13.895.257;1.608.358
No encontrado;13.270.508;13.895.257;1.608.358
Gaviria y borbon asociado ltda;3.871.367;1.339.565;45.141
No encontrado;3.871.367;1.339.565;45.141
Cauchos especiales malaca sas;6.052.249;7.517.538;331.376
No encontrado;6.052.249;7.517.538;331.376
Cosmeticos lehit ltda;32.237.640;42.718.564;9.362.254
No encontrado;32.237.640;42.718.564;9.362.254
No encontrado;No encontrado;No encontrado;No encontrado
Biofuturo sas;6.706.223;2.433.224;37.147
No encontrado;6.706.223;2.433.224;37.147
Fernando y ricardo rincon arquitectos sas;2.526.502;202.001;37.853
No encontrado;2.526.502;202.001;37.853
Tecnimotor repuestos y rectificadora sas;10.329.353;3.649.167;513.680
No encontrado;10.329.353;3.649.167;513.680
Administradora y promotora inmobiliaria mevic sas;17.195.391;3.852.068;384.449
No encontrado;17.195.391;3.852.068;384.449
Tabasa s.a.s;5.543.278;1.211.199;161.621
No encontrado;5.543.278;1.211.199;161.621
Nec de colombia sa nec de colombia sa;121.329.540;233.102.621;72.562
No encontrado;121.329.540;233.102.621;72.562
Perdomo zarate sas;8.240.193;953.900;61.673
No encontrado;8.240.193;953.900;61.673
Ingenieria vias y concretos sas;89.100.175;28.886;295.518
No encontrado;89.100.175;28.886;295.518
Comercial y servicios ayre sas en reorganizacion;2.919.912;7.876.499;70.900
No encontrado;2.919.912;7.876.499;70.900
Ferreteria vallejo s.a.s;6.694.577;10.314.220;477.442
No encontrado;6.694.577;10.314.220;477.442
No encontrado;No encontrado;No encontrado;No encontrado
Dirco ingenieria ltda;6.965.170;3.917.771;237.950
No encontrado;6.965.170;3.917.771;237.950
Marmoles y vitrificados carrara sas;5.518.352;3.283.035;68.730
No encontrado;5.518.352;3.283.035;68.730
Alv servicios y suministros ltda;8.620.324;21.325.549;90.053
No encontrado;8.620.324;21.325.549;90.053
Vision software sas;38.715.652;164.446.457;4.167.467
No encontrado;38.715.652;164.446.457;4.167.467
High lights sas;30.652.090;33.604.627;1.950.420
No encontrado;30.652.090;33.604.627;1.950.420
Inducolcarnes s.a.s.;7.303.191;11.226.232;212.799
No encontrado;7.303.191;11.226.232;212.799
Sovel sas;4.563.378;12.255.626;43.632
No encontrado;4.563.378;12.255.626;43.632
Inversiones y valores wilcorts sas;15.520.427;3.733.228;210.722
No encontrado;15.520.427;3.733.228;210.722
Distribuciones hernandez hernandez y cia ltda;36.492.731;55.251.375;782.773
No encontrado;36.492.731;55.251.375;782.773
Ingeredes sas;38.802.523;2.164.557;319.860
No encontrado;38.802.523;2.164.557;319.860
No encontrado;No encontrado;No encontrado;No encontrado
Colrepacar s.a.s;2.095.859;4.791.425;211.519
No encontrado;2.095.859;4.791.425;211.519
Metaligas s.a.s;48.815.301;7.522.661;1.352.066
No encontrado;48.815.301;7.522.661;1.352.066
Controles empresariales sas;253.951.991;759.911.778;23.784.608
No encontrado;253.951.991;759.911.778;23.784.608
Grupo lopera ingenieros sa;11.198.630;25.745.051;1.796.893
No encontrado;11.198.630;25.745.051;1.796.893
Llantas repuestos y servicios sas;3.229.482;1.540.423;85.888
No encontrado;3.229.482;1.540.423;85.888
Fcr sas;137.881.001;26.411.406;1.261.209
No encontrado;137.881.001;26.411.406;1.261.209
Agricola el retiro sas en reorganizacion;353.870.210;360.996.425;10.566.412
No encontrado;353.870.210;360.996.425;10.566.412
Pasta pronta sas;6.777.524;16.794.691;81.592
No encontrado;6.777.524;16.794.691;81.592
Promontajessas;4.336.082;14.395.175;297.986
No encontrado;4.336.082;14.395.175;297.986
Fragola s.a.s.;15.320.912;5.877.431;1.532.043
No encontrado;15.320.912;5.877.431;1.532.043
No encontrado;No encontrado;No encontrado;No encontrado
Esenttia s.a.;3.040.910.241;2.734.142.492;199.483.277
No encontrado;3.040.910.241;2.734.142.492;199.483.277
Kmc sas;15.890.449;1.042.281;13.506
No encontrado;15.890.449;1.042.281;13.506
Industrias st even s.a.s;56.660.933;62.116.692;417.484
No encontrado;56.660.933;62.116.692;417.484
Edificaciones y vias sa;16.745.368;11.049.913;85.431
No encontrado;16.745.368;11.049.913;85.431
Alura animal health & nutrition s.a.s;77.845.650;117.018.987;6.473.185
No encontrado;77.845.650;117.018.987;6.473.185
Discover america marketing sas;3.469.874;1.599.819;218.627
No encontrado;3.469.874;1.599.819;218.627
Rodaquimicos sas;1.342.576;2.583.231;72.585
No encontrado;1.342.576;2.583.231;72.585
Automotores fujiyama sas;43.859.593;139.326.626;3.633.964
No encontrado;43.859.593;139.326.626;3.633.964
Iinversiones gico sas;11.861.546;1.203.588;193.463
No encontrado;11.861.546;1.203.588;193.463
Constructora nelekonar s.a.s.;10.858.434;0;7.966
No encontrado;10.858.434;0;7.966
No encontrado;No encontrado;No encontrado;No encontrado
Diselco sas;8.853.203;8.377.135;421.048
No encontrado;8.853.203;8.377.135;421.048
Divitex sas;8.002.792;7.160.706;279.288
No encontrado;8.002.792;7.160.706;279.288
Interamericana de licores escobar c sas;107.670.375;49.207.145;4.734.392
No encontrado;107.670.375;49.207.145;4.734.392
Grupo diversa sas;3.144.964;1.660.949;70.109
No encontrado;3.144.964;1.660.949;70.109
Obracic sas;1.104.888;1.053.831;677.044
No encontrado;1.104.888;1.053.831;677.044
Alca ltda;67.481.984;76.159.681;1.220.252
No encontrado;67.481.984;76.159.681;1.220.252
Reymom ltda;2.348.037;667.095;23.216
No encontrado;2.348.037;667.095;23.216
Negocios sandez sas;3.629.061;332.589;25.544
No encontrado;3.629.061;332.589;25.544
Kamex international sas;23.644.146;12.678.977;36.384
No encontrado;23.644.146;12.678.977;36.384
Ferragro sas;34.717.319;85.513.686;232.584
No encontrado;34.717.319;85.513.686;232.584
No encontrado;No encontrado;No encontrado;No encontrado
Trinity international s a s;5.105.579;4.600.538;198.456
No encontrado;5.105.579;4.600.538;198.456
Artesonido s.a.s.;3.788.299;3.589.633;549.441
No encontrado;3.788.299;3.589.633;549.441
Marruecos colombian leather sas;3.559.590;6.171.335;328.641
No encontrado;3.559.590;6.171.335;328.641
Industrias jabco sas;1.356.721;10.798;181.835
No encontrado;1.356.721;10.798;181.835
Grupo san pio sas;78.891.012;225.794.866;3.812.974
No encontrado;78.891.012;225.794.866;3.812.974
Agrosur ltda;4.096.721;0;2.078
No encontrado;4.096.721;0;2.078
Estudios audiovision limitada;3.923.327;129.529;86.183
No encontrado;3.923.327;129.529;86.183
Tres muelles sas;8.198.401;11.376.951;238.817
No encontrado;8.198.401;11.376.951;238.817
Iimplantes y sistemas ortopedicos sa;107.397.623;89.139.877;9.798.969
No encontrado;107.397.623;89.139.877;9.798.969
Inversiones circulo de socios s.a.;11.392.738;9.160.211;50.283
No encontrado;11.392.738;9.160.211;50.283
No encontrado;No encontrado;No encontrado;No encontrado
Bateman ingenieria sas;11.199.128;5.665.843;304.989
No encontrado;11.199.128;5.665.843;304.989
Basic farm sas;21.084.539;22.228.263;2.414.518
No encontrado;21.084.539;22.228.263;2.414.518
Estacion de servicio llanta baja s en c;2.145.413;13.130.067;9.043
No encontrado;2.145.413;13.130.067;9.043
Festo sas;37.881.997;88.040.897;5.323.724
No encontrado;37.881.997;88.040.897;5.323.724
Muebleideas s.a.s.;28.261.682;27.771.025;6.289.826
No encontrado;28.261.682;27.771.025;6.289.826
Parker drilling company international limited;2.700.676;0;522.507
No encontrado;2.700.676;0;522.507
Grupo b & e s.a.s;3.616.449;460.930;93.698
No encontrado;3.616.449;460.930;93.698
Neumatica del caribe sa;67.404.476;70.953.903;2.046.684
No encontrado;67.404.476;70.953.903;2.046.684
Serviefectivo s.a.s;12.509.919;6.865.622;737.793
No encontrado;12.509.919;6.865.622;737.793
Inversiones gomez velasquez s.a.s.;7.854.590;605.002;158.129
No encontrado;7.854.590;605.002;158.129
No encontrado;No encontrado;No encontrado;No encontrado
Alfa sait sas bic;5.914.702;12.557.363;710.414
No encontrado;5.914.702;12.557.363;710.414
Impulsadora hotelera y turistica ltda, hoturis ltda;6.934.273;3.786.654;202.535
No encontrado;6.934.273;3.786.654;202.535
Ipi ingenieria de procesos industriales ltda o ipi ltda;6.070.965;742.100;125.602
No encontrado;6.070.965;742.100;125.602
Producciones cosmovision s.a.;4.227.808;8.065.177;56.276
No encontrado;4.227.808;8.065.177;56.276
Ingenieros gf sas;98.087.917;60.010.035;3.203.044
No encontrado;98.087.917;60.010.035;3.203.044
Internacional saenz gomez ltda;3.445.357;2.469.355;132.486
No encontrado;3.445.357;2.469.355;132.486
Sye arquitectos ingenieros ltda;4.278.578;183.027;3.574
No encontrado;4.278.578;183.027;3.574
Laboratorios ross d elen sas;9.353.748;14.066.870;293.306
No encontrado;9.353.748;14.066.870;293.306
Producciones y distribuciones dispro sas;5.103.795;7.002.849;727.332
No encontrado;5.103.795;7.002.849;727.332
Cascais sas;40.593.751;2.638.435;1.817.276
No encontrado;40.593.751;2.638.435;1.817.276
No encontrado;No encontrado;No encontrado;No encontrado
Serinpet;5.814.296;7.286.261;895.030
No encontrado;5.814.296;7.286.261;895.030
Taller de ensamble sas;3.514.846;5.185.923;679.145
No encontrado;3.514.846;5.185.923;679.145
Industria panificadora el country ltda;46.756.803;60.174.156;1.971.368
No encontrado;46.756.803;60.174.156;1.971.368
Parque industrial arroyohondo sa;4.742.661;2.792.726;862.461
No encontrado;4.742.661;2.792.726;862.461
Disproven sas;3.556.820;8.205.284;945.490
No encontrado;3.556.820;8.205.284;945.490
Jomaval s.a.s;5.519.000;593.000;65.000
No encontrado;5.519.000;593.000;65.000
Industria superfilt ltda;13.068.302;6.050.685;254.706
No encontrado;13.068.302;6.050.685;254.706
Acosta rivera s.a.;2.891.582;5.519.448;121.555
No encontrado;2.891.582;5.519.448;121.555
C&e investments s.a.s.;19.921.902;570.550;145.501
No encontrado;19.921.902;570.550;145.501
Sesac s.a.;3.879.983;7.498.810;250.227
No encontrado;3.879.983;7.498.810;250.227
No encontrado;No encontrado;No encontrado;No encontrado
Menzies aviation colombia sas;101.536.539;132.244.652;9.251.098
No encontrado;101.536.539;132.244.652;9.251.098
Pubblica sas;26.322.833;33.573.504;2.479.845
No encontrado;26.322.833;33.573.504;2.479.845
Kenzo jeans sas;96.275.268;80.191.654;5.655.596
No encontrado;96.275.268;80.191.654;5.655.596
Distribuidora de prodictos de aluminio ltda;6.010.074;10.190.548;77.764
No encontrado;6.010.074;10.190.548;77.764
Procesos de manufactura sociedad por acciones simplificada;6.668.220;10.675.843;543.743
No encontrado;6.668.220;10.675.843;543.743
Creatum accesorios s.a.s.;25.748.164;30.592.908;1.945.932
No encontrado;25.748.164;30.592.908;1.945.932
San angelo sas;38.068.481;9.260.190;559.170
No encontrado;38.068.481;9.260.190;559.170
Ci guillermo muñoz y compañia ltd en reorganizacion;65.356;141.497;118.401
No encontrado;65.356;141.497;118.401
Alberto aristizabal y cia s. en c.s.;15.862.970;4.709.772;1.131.272
No encontrado;15.862.970;4.709.772;1.131.272
F jose barberi s.a.s.;1.970.371;0;2.143
No encontrado;1.970.371;0;2.143
No encontrado;No encontrado;No encontrado;No encontrado
Cremalleras de colombia sas;1.571.938;351.260;90.472
No encontrado;1.571.938;351.260;90.472
Hoteles royal s.a;169.004.429;155.472.036;19.854.867
No encontrado;169.004.429;155.472.036;19.854.867
Fabrica de alimentos procesados ventolini s.a;44.378.250;125.103.735;3.477.342
No encontrado;44.378.250;125.103.735;3.477.342
Delta ingenieria sa;12.376.324;21.549.625;1.889.228
No encontrado;12.376.324;21.549.625;1.889.228
Flores de la hacienda sas;7.849.018;25.201.445;417.074
No encontrado;7.849.018;25.201.445;417.074
Cia oriental de alimentos coriental sas;1.652.224;3.194.143;2.796
No encontrado;1.652.224;3.194.143;2.796
Alconta s.a.s.;917.301;145.642;24.077
No encontrado;917.301;145.642;24.077
Papelera fk s.a.s.;36.632.450;60.235.196;2.289.827
No encontrado;36.632.450;60.235.196;2.289.827
Fabrica de helados la fresita sas;8.252.658;20.385.002;1.066.844
No encontrado;8.252.658;20.385.002;1.066.844
Gi group staffing s.a.s.;27.924.687;196.869.032;415.528
No encontrado;27.924.687;196.869.032;415.528
No encontrado;No encontrado;No encontrado;No encontrado
M.u. y asociados s.a.s. en reorganizacion empresarial;4.383.973;2.077.025;11.011
No encontrado;4.383.973;2.077.025;11.011
Arriendos sa;5.456.547;120.288;55.033
No encontrado;5.456.547;120.288;55.033
Productora de formas continuas s.a.;9.077.335;10.113.218;282.434
No encontrado;9.077.335;10.113.218;282.434
Comercial j.f.i. s.a;9.922.304;6.538.174;232.918
No encontrado;9.922.304;6.538.174;232.918
Inversiones rengifo rojas s.a.s.;3.915.444;9.757.589;24.320
No encontrado;3.915.444;9.757.589;24.320
Aseo y sostenimiento y compañia s.a.;20.080.526;87.642.227;930.569
No encontrado;20.080.526;87.642.227;930.569
Strud ingenieria ltda;11.894.454;1.010.857;322.241
No encontrado;11.894.454;1.010.857;322.241
Skandia planeación financiera s.a.;27.601.208;0;3.754.301
No encontrado;27.601.208;0;3.754.301
Texturas y matices s.a.;1.594.185;2.706.697;195.916
No encontrado;1.594.185;2.706.697;195.916
Tractochevrolet ltda;33.721.636;19.183.726;1.919.198
No encontrado;33.721.636;19.183.726;1.919.198
No encontrado;No encontrado;No encontrado;No encontrado
Factoring servimos sas;79.823.147;5.341.221;500.115
No encontrado;79.823.147;5.341.221;500.115
Laboratorio de productos naturasol moreno garcia rojas e hijos y cia s en sc;7.448.712;10.634.960;246.532
No encontrado;7.448.712;10.634.960;246.532
Inversiones renta y tierra sas;1.364.363;0;0
No encontrado;1.364.363;0;0
Agroindustriales rojas ocampo y cia s.a.s;6.674.898;2.205.838;144.195
No encontrado;6.674.898;2.205.838;144.195
Velzea sas esp;6.391.182;597.679;88.142
No encontrado;6.391.182;597.679;88.142
Plasticos fayco sas bic;27.881.576;47.470.682;1.219.066
No encontrado;27.881.576;47.470.682;1.219.066
Central manigua sa en reorganizacion;26.928.585;6.599.306;112.590
No encontrado;26.928.585;6.599.306;112.590
Promotora de centros para automotores ltda;43.259.669;0;77.439
No encontrado;43.259.669;0;77.439
Contacto grafico sas;9.028.404;3.587.707;471.420
No encontrado;9.028.404;3.587.707;471.420
