Empresa;Activos;Ingresos;Utilidad Neta
Estudios tecnicos y construcciones sas;11.781.938;6.575.517;856.200
No encontrado;11.781.938;6.575.517;856.200
No encontrado;No encontrado;No encontrado;No encontrado
Zapata posada villegas y cia s.a.s. en liquidacion;35.778.278;4.428;1.365.508
No encontrado;35.778.278;4.428;1.365.508
Biochem farmaceutica de colombia s.a.;48.158.305;24.327.723;1.040.730
No encontrado;48.158.305;24.327.723;1.040.730
Inprotekto limitada;5.241.378;2.197.333;110.240
No encontrado;5.241.378;2.197.333;110.240
Comercial tir s.a.s;8.344.508;14.850.407;462.468
No encontrado;8.344.508;14.850.407;462.468
Industrias rapid y cia ltda;7.154.417;5.419.154;60.562
No encontrado;7.154.417;5.419.154;60.562
Gamacolor editorial sas;10.268.989;12.251.456;301.921
No encontrado;10.268.989;12.251.456;301.921
Arango y cia arquitecot constructores ltda;12.357.358;1.110.964;183.208
No encontrado;12.357.358;1.110.964;183.208
Constructora bg sas;7.730.453;2.834.324;91.060
No encontrado;7.730.453;2.834.324;91.060
Agropecuaria la gira sas;4.968.663;5.251.015;352.513
No encontrado;4.968.663;5.251.015;352.513
Zonas logisticas s a.s;48.200.048;0;4.855.741
No encontrado;48.200.048;0;4.855.741
No encontrado;No encontrado;No encontrado;No encontrado
Inverhas sas;26.001.765;1.865.304;331.338
No encontrado;26.001.765;1.865.304;331.338
Agropecuaria remolinos sas;9.347.276;1.591.679;125.788
No encontrado;9.347.276;1.591.679;125.788
Lemco sas;691.633.605;74.468.527;56.348.166
No encontrado;691.633.605;74.468.527;56.348.166
Mf publicidad mercadeo limitada;1.129.046;389.332;74.291
No encontrado;1.129.046;389.332;74.291
Inverboca sas;4.269.254;853.410;41.406
No encontrado;4.269.254;853.410;41.406
Durman colombia sas;164.318.129;219.751.445;8.713.508
No encontrado;164.318.129;219.751.445;8.713.508
Incorbank s.a banqueros de inversion;2.351.780;1.276.786;83.135
No encontrado;2.351.780;1.276.786;83.135
Ruiz gomez & cia sas;21.425.438;836.240;720.585
No encontrado;21.425.438;836.240;720.585
Ge constructores sa;2.779.975;80.000;467.217
No encontrado;2.779.975;80.000;467.217
Inversiones jose libardo gomez giraldo y cia e en cs;5.164.904;294.170;9.808
No encontrado;5.164.904;294.170;9.808
No encontrado;No encontrado;No encontrado;No encontrado
Roberto llaña y llaña arquitectos sas en liquidacion;999.934;40.808;87.499
No encontrado;999.934;40.808;87.499
Distribuidora costanorte ltda;12.175.981;11.095.691;2.049.706
No encontrado;12.175.981;11.095.691;2.049.706
Inversiones palau sas;5.145.822;4.165.708;308.943
No encontrado;5.145.822;4.165.708;308.943
Ruiz escobar y cia sas;9.770.060;504.908;60.367
No encontrado;9.770.060;504.908;60.367
Sociedad creativa boyaca sa;10.490.481;8.948.568;1.218.529
No encontrado;10.490.481;8.948.568;1.218.529
Laboratorios de especialidades cosmeticas esko ltda;3.858.085;5.998.053;481.198
No encontrado;3.858.085;5.998.053;481.198
Surticampo sas;27.727.304;40.193.587;3.197.123
No encontrado;27.727.304;40.193.587;3.197.123
Yepes avila y cia. s. en c.;14.627.377;1.023.625;6.751
No encontrado;14.627.377;1.023.625;6.751
Ferreteria sumivalle ltda;9.631.955;1.103.311;92.125
No encontrado;9.631.955;1.103.311;92.125
Compañía de alimentos antillana s.a.s;83.229.015;185.152.202;1.228.151
No encontrado;83.229.015;185.152.202;1.228.151
No encontrado;No encontrado;No encontrado;No encontrado
